iter	RMSE
0	1.494864133
1	1.469181417
2	1.446453087
3	1.416573051
4	1.39486331
5	1.371140106
6	1.347662901
7	1.328492539
8	1.311498598
9	1.292677015
10	1.273129476
11	1.254680596
12	1.235298482
13	1.218336331
14	1.203071366
15	1.185279318
16	1.170854442
17	1.156510303
18	1.142204624
19	1.129836934
20	1.117335758
21	1.104046767
22	1.091962401
23	1.080643335
24	1.06741236
25	1.05631658
26	1.045299267
27	1.033713822
28	1.024215028
29	1.014386178
30	1.003945502
31	0.9949818035
32	0.9879007827
33	0.9811080423
34	0.973749206
35	0.9665566175
36	0.9581750363
37	0.9525171856
38	0.94620109
39	0.9402549939
40	0.9345116
41	0.9288603555
42	0.9229576079
43	0.9170893178
44	0.9117815069
45	0.9054535261
46	0.901151875
47	0.8962461233
48	0.8920521812
49	0.8882566562
50	0.8839193563
51	0.8793601683
52	0.8747743052
53	0.8705121422
54	0.8674484312
55	0.8645813597
56	0.8609965348
57	0.8582253203
58	0.8542490272
59	0.8510364712
60	0.8477383056
61	0.844645428
62	0.8414540001
63	0.8385888132
64	0.8346077963
65	0.8320172149
66	0.8301577639
67	0.8274096814
68	0.8250087445
69	0.8221191863
70	0.8198687806
71	0.8175445
72	0.8156043029
73	0.8131854978
74	0.8107280633
75	0.8087151215
76	0.8074818563
77	0.8055246627
78	0.8038687937
79	0.802552666
80	0.800810695
81	0.7987447724
82	0.7973334495
83	0.7955877041
84	0.7937497065
85	0.7916636659
86	0.7895559491
87	0.7881538116
88	0.7866949696
89	0.7854217195
90	0.7841433281
91	0.7827677511
92	0.7803651081
93	0.7777845068
94	0.7763444062
95	0.7745855761
96	0.7730964074
97	0.7720743181
98	0.7708398653
99	0.7697427717
100	0.7680414587
101	0.7664527402
102	0.7655095297
103	0.7645204244
104	0.7631305345
105	0.7616261737
106	0.7613078694
107	0.760562775
108	0.7595585045
109	0.7587869157
110	0.757115248
111	0.7563413258
112	0.7555410674
113	0.7541277705
114	0.7537999737
115	0.7525245946
116	0.7516479841
117	0.7507850469
118	0.7500198465
119	0.7495034153
120	0.7485589017
121	0.7480006876
122	0.7476425417
123	0.746564921
124	0.7458340371
125	0.7453398687
126	0.7442281807
127	0.742582127
128	0.7418176168
129	0.741374273
130	0.7408477521
131	0.7397187509
132	0.7392133766
133	0.7385449514
134	0.7376936017
135	0.737000531
136	0.7364933423
137	0.7361686579
138	0.7355719133
139	0.7347344268
140	0.7343409813
141	0.7339508847
142	0.7330410413
143	0.7322006874
144	0.7316575492
145	0.7306900882
146	0.7301143434
147	0.7295848094
148	0.7292356176
149	0.7289193347
150	0.7286416461
151	0.7276330318
152	0.7262769968
153	0.7258515251
154	0.72537069
155	0.7241607208
156	0.7230532814
157	0.7223173942
158	0.7213082525
159	0.7201845872
160	0.7183807301
161	0.7175810293
162	0.7170582957
163	0.7164009778
164	0.7147055251
165	0.7142946964
166	0.7137665982
167	0.7129819355
168	0.7126178885
169	0.7121798646
170	0.7111440785
171	0.7107281898
172	0.7101841936
173	0.7097045775
174	0.7093863444
175	0.7090324503
176	0.7086042095
177	0.7075098564
178	0.7070910686
179	0.7066386901
180	0.7061539545
181	0.7057478359
182	0.7053692916
183	0.7050609223
184	0.7045769906
185	0.7041402392
186	0.7037062592
187	0.7033331339
188	0.7028108246
189	0.7023964943
190	0.7019630988
191	0.7015972965
192	0.7011621211
193	0.7005539758
194	0.7001040558
195	0.6996257297
196	0.6990476716
197	0.6985750359
198	0.6980798185
199	0.6968538111
200	0.6964237129
201	0.6959032032
202	0.6953979829
203	0.6948824045
204	0.6943620057
205	0.6938966982
206	0.6933515185
207	0.6928940489
208	0.692469435
209	0.6919904373
210	0.6914500194
211	0.6909369227
212	0.6904172883
213	0.6898614267
214	0.6894496351
215	0.6888947668
216	0.6883655605
217	0.6879758155
218	0.6874664784
219	0.6869494979
220	0.6864454551
221	0.685916224
222	0.6854119281
223	0.684970116
224	0.684477503
225	0.6839935669
226	0.6835121816
227	0.6830155699
228	0.682609425
229	0.6821630915
230	0.6816848241
231	0.6812016614
232	0.6807238862
233	0.6802399386
234	0.6797916074
235	0.6793255285
236	0.6789183161
237	0.6784642718
238	0.6779998463
239	0.6775465824
240	0.6770947373
241	0.6766459321
242	0.6762018908
243	0.6757653416
244	0.6753218811
245	0.6748765556
246	0.6744380264
247	0.6740056671
248	0.6735719911
249	0.6731417178
250	0.6727167496
251	0.6722893889
252	0.6718731324
253	0.6714620764
254	0.6710393727
255	0.6706215647
256	0.6702106014
257	0.6697990999
258	0.6693939236
259	0.6689872789
260	0.6685834097
261	0.6681823327
262	0.6677816117
263	0.667378198
264	0.666984225
265	0.6665891947
266	0.6662009191
267	0.6658070301
268	0.6654197211
269	0.6650302725
