iter	Passed	Remaining
0	47	47159
1	52	26214
2	57	19246
3	62	15636
4	65	13119
5	70	11680
6	74	10613
7	79	9824
8	83	9206
9	88	8757
10	93	8391
11	98	8077
12	102	7813
13	104	7386
14	108	7104
15	113	6963
16	119	6884
17	123	6737
18	126	6525
19	132	6490
20	137	6409
21	142	6324
22	152	6469
23	158	6429
24	163	6360
25	168	6316
26	174	6281
27	180	6266
28	185	6211
29	188	6102
30	192	6029
31	197	5985
32	201	5917
33	206	5864
34	209	5783
35	214	5755
36	219	5706
37	223	5649
38	227	5605
39	231	5565
40	235	5517
41	239	5473
42	244	5437
43	247	5379
44	251	5342
45	256	5321
46	261	5292
47	264	5252
48	268	5220
49	273	5198
50	278	5180
51	282	5156
52	287	5140
53	292	5124
54	297	5116
55	302	5094
56	307	5078
57	311	5055
58	315	5030
59	320	5016
60	324	4994
61	328	4970
62	332	4946
63	337	4931
64	342	4922
65	346	4904
66	352	4909
67	357	4895
68	361	4874
69	365	4853
70	370	4849
71	375	4837
72	381	4844
73	387	4846
74	392	4844
75	398	4839
76	401	4817
77	406	4810
78	411	4793
79	413	4760
80	418	4747
81	423	4741
82	427	4724
83	432	4714
84	437	4712
85	442	4698
86	447	4694
87	451	4682
88	456	4670
89	460	4658
90	465	4653
91	472	4663
92	477	4658
93	483	4661
94	489	4662
95	494	4655
96	499	4648
97	505	4655
98	510	4643
99	515	4636
100	519	4625
101	524	4621
102	530	4618
103	534	4605
104	539	4597
105	544	4594
106	549	4586
107	554	4578
108	559	4572
109	565	4573
110	569	4562
111	574	4553
112	579	4546
113	583	4537
114	588	4528
115	593	4520
116	598	4513
117	602	4503
118	606	4493
119	611	4483
120	616	4479
121	619	4455
122	623	4443
123	627	4432
124	631	4423
125	636	4411
126	640	4403
127	645	4397
128	649	4387
129	654	4380
130	659	4373
131	663	4365
132	668	4355
133	672	4345
134	676	4334
135	680	4323
136	685	4315
137	687	4296
138	692	4288
139	696	4278
140	701	4272
141	705	4263
142	710	4255
143	714	4246
144	718	4237
145	722	4227
146	727	4219
147	731	4211
148	736	4205
149	741	4201
150	746	4197
151	750	4186
152	754	4176
153	758	4169
154	763	4162
155	768	4157
156	772	4146
157	776	4137
158	780	4126
159	784	4118
160	789	4114
161	793	4105
162	797	4096
163	802	4089
164	806	4082
165	811	4075
166	815	4067
167	820	4061
168	824	4053
169	828	4045
170	832	4035
171	836	4028
172	841	4022
173	845	4014
174	849	4006
175	854	3998
176	858	3994
177	863	3985
178	867	3978
179	871	3972
180	876	3965
181	880	3957
182	884	3949
183	889	3944
184	893	3938
185	898	3931
186	902	3925
187	907	3918
188	911	3910
189	915	3904
190	921	3904
191	926	3900
192	931	3893
193	935	3886
194	940	3881
195	944	3874
196	948	3866
197	953	3861
198	957	3853
199	961	3844
200	965	3837
201	969	3831
202	974	3824
203	978	3818
204	982	3811
205	987	3805
206	992	3800
207	996	3796
208	1001	3789
209	1004	3780
210	1008	3772
211	1012	3764
212	1017	3758
213	1021	3751
214	1024	3742
215	1029	3736
216	1033	3730
217	1037	3723
218	1041	3715
219	1045	3707
220	1050	3701
221	1055	3698
222	1059	3692
223	1064	3688
224	1069	3682
225	1074	3679
226	1080	3680
227	1084	3673
228	1089	3667
229	1094	3663
230	1099	3661
231	1104	3656
232	1110	3654
233	1115	3650
234	1119	3643
235	1124	3639
236	1129	3637
237	1134	3631
238	1138	3625
239	1143	3621
240	1148	3618
241	1153	3611
242	1158	3607
243	1162	3602
244	1166	3596
245	1171	3590
246	1176	3586
247	1181	3581
248	1186	3577
249	1190	3571
250	1195	3567
251	1199	3561
252	1204	3555
253	1208	3549
254	1212	3543
255	1217	3537
256	1222	3532
257	1226	3528
258	1231	3522
259	1235	3517
260	1240	3512
261	1245	3507
262	1249	3501
263	1254	3498
264	1259	3494
265	1264	3489
266	1269	3485
267	1274	3480
268	1278	3474
269	1283	3469
270	1287	3463
271	1291	3457
272	1296	3451
273	1302	3450
274	1307	3445
275	1311	3440
276	1316	3435
277	1320	3429
278	1325	3424
279	1329	3418
280	1334	3413
281	1338	3407
282	1342	3400
283	1346	3395
284	1351	3390
285	1355	3384
286	1360	3378
287	1364	3374
288	1369	3368
289	1373	3362
290	1378	3359
291	1383	3353
292	1387	3346
293	1391	3341
294	1395	3336
295	1400	3330
296	1404	3324
297	1408	3318
298	1412	3311
299	1416	3304
300	1420	3299
301	1425	3294
302	1430	3291
303	1434	3284
304	1438	3278
305	1443	3273
306	1447	3267
307	1451	3261
308	1456	3256
309	1460	3251
310	1464	3245
311	1469	3239
312	1473	3235
313	1478	3229
314	1482	3223
315	1486	3218
316	1491	3213
317	1495	3207
318	1499	3200
319	1503	3194
320	1507	3188
321	1511	3181
322	1515	3175
323	1519	3170
324	1523	3165
325	1527	3158
326	1531	3152
327	1535	3146
328	1540	3141
329	1545	3136
330	1550	3133
331	1555	3128
332	1559	3123
333	1563	3117
334	1567	3112
335	1571	3106
336	1575	3099
337	1579	3094
338	1584	3089
339	1588	3083
340	1592	3077
341	1596	3071
342	1600	3065
343	1603	3058
344	1608	3053
345	1611	3046
346	1615	3040
347	1619	3034
348	1623	3028
349	1627	3022
350	1631	3016
351	1635	3010
352	1639	3005
353	1643	2999
354	1648	2994
355	1652	2988
356	1656	2983
357	1660	2978
358	1665	2973
359	1669	2968
360	1673	2962
361	1677	2957
362	1682	2951
363	1685	2945
364	1689	2940
365	1694	2935
366	1698	2929
367	1702	2924
368	1707	2919
369	1711	2913
370	1715	2908
371	1719	2902
372	1724	2898
373	1728	2892
374	1732	2887
375	1736	2881
376	1740	2876
377	1745	2871
378	1749	2866
379	1753	2860
380	1757	2855
381	1761	2849
382	1765	2843
383	1769	2838
384	1773	2833
385	1777	2827
386	1781	2822
387	1785	2816
388	1789	2811
389	1794	2806
390	1799	2802
391	1803	2798
392	1808	2792
393	1812	2787
394	1816	2781
395	1820	2777
396	1825	2772
397	1829	2766
398	1833	2761
399	1837	2756
400	1841	2751
401	1845	2745
402	1850	2741
403	1854	2736
