iter	RMSE
0	1.440904682
1	1.381280084
2	1.319859711
3	1.259646526
4	1.214582769
5	1.169530545
6	1.122546294
7	1.091930057
8	1.05372239
9	1.021323035
10	0.9977343599
11	0.9726607406
12	0.9515726133
13	0.9338056597
14	0.9187296078
15	0.9026021345
16	0.8848759723
17	0.8733259471
18	0.8609673526
19	0.8497588446
20	0.8400264787
21	0.830618124
22	0.8231114713
23	0.8147535556
24	0.8053459087
25	0.8000279165
26	0.7937628578
27	0.7891297666
28	0.7827046707
29	0.774477698
30	0.7689164109
31	0.76424881
32	0.7601055544
33	0.7566942653
34	0.7504331779
35	0.744710119
36	0.741315679
37	0.7375198089
38	0.7336280273
39	0.7291161578
40	0.7258577889
41	0.7209975874
42	0.7196726049
43	0.716805556
44	0.710753061
45	0.7062243637
46	0.7047908586
47	0.701888848
48	0.6992209774
49	0.6967482918
